animeTitle	Pyuu to Fuku! Jaguar
animeType	OVA
animeNumEpisode	3
releaseDate	2007-11-19 00:00:00
endDate	2008-01-21 00:00:00
animeNumMembers	
animeScore	6.64
animeUsers	120
animeRank	
animePopularity	11933
animeDescription	"Based on the gag manga written and illustrated by Usuta Kyousuke that ran in Shuukan Shounen Jump from 2000 to 2010.

(Source: AniDB)"
animeRelated	['Pyuu to Fuku! Jaguar', 'Pyuu to Fuku! Jaguar: Ima, Fuki ni Yukimasu', 'Pyuu to Fuku! Jaguar: Return of Yaku Ichinenburi']
animeCharacters	['Jaguar, Junichi', 'Hamawatari, Hiromitsu', 'Saketome, Kiyohiko']
animeVoices	[]
animeStaff	[['Tani, Azuma', 'Director'], ['Usuta, Kyousuke', 'Original Creator'], ['FROGMAN', 'Chief Animation Director']]
