animeTitle	b'Ryuusei Girl'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A music video for the song ""Ryuusei Girl"" by Meg and Patron (\xe3\x83\xa1\xe3\x82\xb0\xe3\x81\xa8\xe3\x83\x91\xe3\x83\x88\xe3\x83\xad\xe3\x83\xb3).'"
animeRelated	[]
animeCharacters	[b'Megu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOhashi, Takashi\n\nDirector\n\n', b'\nMegu to Patron\n\nTheme Song Performance\n\n']
