animeTitle	Gokuu no Daibouken Pilot
animeType	Special
animeNumEpisode	1
releaseDate	1966-06-12 00:00:00
endDate	
animeNumMembers	354
animeScore	
animeUsers	
animeRank	15797
animePopularity	14019
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Gokuu no Daibouken']
animeCharacters	['Gokuu']
animeVoices	[]
animeStaff	[['Dezaki, Osamu', 'Director'], ['Tezuka, Osamu', 'Original Creator']]
