animeTitle	Terra Story
animeType	OVA
animeNumEpisode	2
releaseDate	1998-08-14 00:00:00
endDate	1998-09-11 00:00:00
animeNumMembers	893
animeScore	5.45
animeUsers	230
animeRank	
animePopularity	11403
animeDescription	"Keisiuke is a high school student. He falls in love with Misa at first sight. Because he doesn't understand how the girl thinks, he is advised to date with other girls to study. Before the date, he happens to meet Misa and confesses his thought. Several days later, Misa finds him with another girl, and she misunderstands their relations.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Misa', 'Mr. Maru', 'Nurse Julie', 'Mimi', 'Toshiya', 'Keisuke', 'Rina']
animeVoices	[]
animeStaff	[['Makino, Yukihiro', 'Director'], ['Hata, Shouji', 'Recording'], ['Katsumata, Geki', 'Art Director']]
