animeTitle	Waga Seishun no Arcadia: Mugen Kidou SSX
animeType	TV
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	1889
animeRank	
animePopularity	6593
animeDescription	"At the end of Arcadia of My Youth Capitain Harlock and the crew of the space ship Arcadia had been banished from Earth. The Earth, as well as many other planets in the universe had been taken over by the Illumidus, a race of destructive humanoids who ruin, enslave or destroy almost any inhabitable planet they come across. In ""Endless Orbit SSX"" Harlock battles the Illumidus while searching for a mythical ""Planet of Peace"" where all the peoples of the universe can live freely and without war.

(Source: Wikipedia)"
animeRelated	['Uchuu Kaizoku Captain Herlock', 'Waga Seishun no Arcadia']
animeCharacters	['Captain Herlock', 'Ooyama, Tochirou', 'Monono, Tadashi', 'Emeraldas', 'Yuki, Kei', 'Mr. Zone', 'The Queen of Arcadia', 'Mii-kun', 'Yuki, Gorou', 'Bentselle, Father']
animeVoices	['Inoue, Makio', 'Tomiyama, Kei', 'Majima, Satomi', 'Tajima, Reiko', 'Ichiryuusai, Harumi', 'Furuya, Toru', 'Yanaga, Kazuko', 'Kanie, Eiji', 'Tanaka, Yasuo']
animeStaff	"[['Sasaki, Masamitsu', 'Episode Director'], ['Mizuki, Ichirou', 'Theme Song Performance'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance'], ['Matsumoto, Leiji', 'Original Creator']]"
