animeTitle	Yarichin Kateikyoushi Netori Houkoku
animeType	OVA
animeNumEpisode	2
releaseDate	2020-05-29 00:00:00
endDate	2020-06-05 00:00:00
animeNumMembers	6365
animeScore	6.93
animeUsers	2954
animeRank	
animePopularity	6390
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	[]
animeCharacters	['Hatsuto, Akira', 'Hatsuto, Shizuku']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director']]
