animeTitle	b'Mobile Suit Gundam'
animeType	b'TV'
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	7.77
animeUsers	46229
animeRank	
animePopularity	
animeDescription	"b'It is year 0079 of the Universal Century. Mankind has moved to space, living in colony clusters known as ""Sides."" One of these Sides declares itself the ""Principality of Zeon"" and declares war on the Earth Federation, the governmental body currently ruling Earth. Using powerful humanoid robots known as ""mobile suits,"" Zeon quickly gains the upper hand.\n\nNine months into the conflict, the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam, a 15-year-old civilian named Amuro Ray suddenly finds himself thrown into a conflict that will take him all across Earth and space, pitting him against the enemy\'s ace pilot, Char Aznable.\n\n[Written by MAL Rewrite]'"
animeRelated	"[b'Kidou Senshi Gundam 0079', b'Kidou Senshi Gundam', b'Mobile Suit Gundam - Hybrid 4-Koma Dai Sensen', b'Mobile Suit Gundam: The 08th MS Team', b'Mobile Suit Gundam MS IGLOO: The Hidden One Year War', b'Gundam Evolve', b'Gundam: Mission to the Rise', b'Ring of Gundam', b'Mobile Suit Gundam Thunderbolt', b'Mobile Suit Gundam 0080: War in the Pocket', b'Mobile Suit Zeta Gundam', b'Mobile Suit Gundam Wing', b'After War Gundam X', b'Mobile Suit Gundam SEED', b'Turn A Gundam', b'Mobile Fighter G Gundam', b'SD Gundam Force', b'Mobile Suit Gundam 00', b'SD Gundam Sangokuden Brave Battle Warriors', b'Mobile Suit Gundam AGE', b'Mobile Suit Gundam: Iron-Blooded Orphans', b'Mobile Suit Gundam I', b'Mobile Suit Gundam II: Soldiers of Sorrow', b'Mobile Suit Gundam III: Encounters in Space', b'Akai Shouzou: Char, Soshite Frontal e', b'Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.', b'Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude', b'Mobile Suit Gundam: Hikaru Inochi Chronicle U.C.', b'SD Gundam Gaiden', b'Mobile Suit SD Gundam Mk I', b'All That Gundam', b'Mobile Suit Gundam: More Information on the Universal Century', b'30th Gundam Perfect Mission', b'Mokei Senshi Gunpla Builders Beginning G', b'Kimi ga Nozomu Eien: Gundam Parody', b'Mobile Suit Gundam Battlefield Record: Avant-Title', b'The Impression of First Gundam', b'Gundam: G no Reconguista', b'Mobile Suit Gundam-san', b'Nihon Animator Mihonichi', b'Gundam vs Hello Kitty', b'Mobile Suit Gundam G40', b'Gundam Breaker: Battlogue', b'Defend Love', b'Mobile Suit Gundam: The Origin', b""Mobile Suit Gundam: Cucuruz Doan's Island""]"
animeCharacters	[b'Aznable, Char', b'Ray, Amuro', b'Noa, Bright', b'Haro', b'Mass, Sayla', b'Ral, Ramba', b'Zabi, Mineva Lao', b'Shiden, Kai', b'Zabi, Garma', b'Sune, Lalah']
animeVoices	[b'\nIkeda, Shuuichi\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nInoue, You\nJapanese\n', b'\nHirose, Masashi\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nHan, Keiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatate, Hajime\n\nProducer\n\n', b'\nTomino, Yoshiyuki\n\nDirector, Script, Original Creator\n\n', b'\nSekita, Osamu\n\nDirector\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n']
