animeTitle	b'Hello Kitty no Cinderella'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	443
animeRank	
animePopularity	
animeDescription	b'Hello Kitty version of Cinderella.'
animeRelated	[b'Kiki to Lala no Aoi Tori', b'My Melody no Akazukin', b'Hello Kitty no Cinderella (OVA)']
animeCharacters	[b'White, Kitty']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGrimm, Jacob and Wilhelm\n\nOriginal Creator\n\n', b'\nHata, Masami\n\nChief Animation Director\n\n', b'\nTsuji, Shintarou\n\nExecutive Producer\n\n', b'\nMatsuyama, Maya\n\nAnimation Director\n\n']
