animeTitle	Natalie
animeType	Music
animeNumEpisode	1
releaseDate	2012-03-29 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18203
animeDescription	Music video for Sayonara Ponytail's song Natalie, animated by AC-bu. The video is a parody of 80s anime opening animations.
animeRelated	[]
animeCharacters	['Ayumin', 'Nacchan', 'Miina', 'Yuritan', 'Megu', '324P', 'Megane-kun']
animeVoices	[]
animeStaff	[['AC-bu', 'Director'], ['Sayonara Ponytail', 'Theme Song Performance']]
