animeTitle	Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3
animeType	Movie
animeNumEpisode	3
releaseDate	2020-11-13 00:00:00
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	246
animeRank	
animePopularity	8911
animeDescription	Episodes 7-9 of the Soukyuu no Fafner: Dead Aggressor - The Beyond series. 
animeRelated	['Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2', 'Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4']
animeCharacters	['Minashiro, Soushi', 'Toomi, Maya', 'Makabe, Kazuki', 'Kasugai, Kouyou', 'Kurusu, Misao', 'Kaburagi, Sui', 'Ghose, Anila Aurobindo', 'Mikado, Reo', 'Makabe, Fumihiko', 'Mikagami, Mimika']
animeVoices	[]
animeStaff	[['Noto, Takashi', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Ubukata, Tow', 'Script, Series Composition'], ['Suzuki, Toshimasa', 'Storyboard']]
