animeTitle	Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo
animeType	TV
animeNumEpisode	12
releaseDate	2018-10-11 00:00:00
endDate	2018-12-27 00:00:00
animeNumMembers	
animeScore	6.53
animeUsers	6797
animeRank	
animePopularity	3513
animeDescription	"Merc Storia takes places in a world where humans and monsters coexist. The protagonist, Yuu, is a healer apprentice and possesses the ability to tame monsters. In a quest to regain the memories of Merc, a girl confined in a bottle, the pair embarks on a journey.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Yuu', 'Merc', 'Folna', 'Orthos', 'Citrouille ', 'Floreida', 'Yusea', 'Shaolin', 'Zephyrodai', 'Rupie']
animeVoices	['Tamura, Mutsumi', 'Minase, Inori', 'Hikasa, Youko', 'Hanae, Natsuki', 'Koyasu, Takehito', 'Inoue, Kikuko', 'Ishikawa, Kaito', 'Iwami, Manaka', 'Suwabe, Junichi', 'Kawanishi, Kengo']
animeStaff	[['Oizaki, Fumitoshi', 'Director, Series Composition'], ['Hamano, Takatoshi', 'Sound Director'], ['Minase, Inori', 'Theme Song Performance'], ['Mili', 'Theme Song Performance, Music']]
