animeTitle	Eikyuu Kazoku
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	3512
animeRank	
animePopularity	5567
animeDescription	"It started as a sociological experiment. Six different people were brainwashed to think that they were a family and then put in arbitrary situations to see how they would react; however, when a taping of the families conducts is sold in a desperate attempt to make a little capital, it instantly becomes a success. Now the family is a first rated show and their every move is broadcasted around the world without them knowing it. But when a clogged toilet sets off a chain of events that ultimately frees the family from the room they are confined in the broadcasters, not willing to lose their source of income, set out to hunt down and recapture every member of the Eternal family.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Sae', 'Akiko', 'A-Ko', 'Tamasaburou, Sasuke ', 'Michael', 'Hanada, Ben']
animeVoices	['Koujiro, Chie', 'Mizutani, Yuuko', 'Mayama, Ako', 'Yamaguchi, Kappei', 'Mizuta, Wasabi', 'Hirose, Masashi']
animeStaff	[['Morimoto, Kouji', 'Director'], ['Tanaka, Tatsuyuki', 'Storyboard, Key Animation'], ['Satou, Dai', 'Screenplay'], ['Matsumi, Shinichi', 'Series Composition']]
