animeTitle	Aneki no Kounai Kaikinbi
animeType	OVA
animeNumEpisode	1
releaseDate	2012-02-17 00:00:00
endDate	
animeNumMembers	7631
animeScore	5.46
animeUsers	3320
animeRank	
animePopularity	5918
animeDescription	"When 23-year-old Hirose Anna finds out that her little brother masturbates with her dirty underwear, she decides to take things a step further by allowing him to see her do naughty things as well. Each time the situations escalate until she comes out and tells him that as his big sister she will take responsibility for his sexual curiosity. She allows him to do anything with her except for proper sex; yet as his requests get dirtier each time, she remains determined to take responsibility and keep things going no matter what. 

(Source: ANN, modified at BakaBT) "
animeRelated	[]
animeCharacters	['Hirose, Anna']
animeVoices	[]
animeStaff	[['Komai, Kazuya', 'Script, Key Animation']]
