animeTitle	b'Heroic Age'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	41771
animeRank	
animePopularity	
animeDescription	b'When the Golden Race invited other races to join them in the stars, three sentient races answered their call. The Goldens called them the Bronze, Silver and Heroic Tribes. Just before the Gold Tribe left to travel to another Universe, a fourth race appeared, traveling to the stars on their own accomplishments. The Golds named the human race the Iron Tribe. During the passing of time, humanity suffers at the hands of the more dominant races and is now facing extinction. Following a prophecy left by the Gold Tribe, Princess Deianeira sets out to search for the powerful being who might be able to save humankind. She meets a wild haired boy on an abandoned planet\xe2\x80\x94a fateful encounter that will not only change the fortunes of Humanity, but also the fate of the universe.\n\n(Source: AniDB)'
animeRelated	[b'Heroic Age']
animeCharacters	[b'Age', b'Yunos, Dhianeila Y Leisha Altoria Ol', b'Rucan, Karkinos', b'Nephew, Nilval', b'La, Yuty', b'Bee no bee', b'Ou, Prome', b'Bore, Mehitak', b'Mehelim, Mail Al', b'Mehelim, Tail Ol']
animeVoices	[b'\nYazaki, Hiroshi\nJapanese\n', b'\nIshikawa, Yui\nJapanese\n', b'\nKatou, Masayuki\nJapanese\n', b'\nYukana\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nSuzuki, Chihiro\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nTamura, Yukari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer\n\n', b'\nNakanishi, Go\n\nProducer\n\n', b'\nSuzuki, Toshimasa\n\nDirector, Episode Director, Storyboard\n\n', b'\nNoto, Takashi\n\nDirector\n\n']
