animeTitle	Youbi Masochist Animation
animeType	OVA
animeNumEpisode	2
releaseDate	1997-01-01 00:00:00
endDate	
animeNumMembers	582
animeScore	5.24
animeUsers	178
animeRank	
animePopularity	12561
animeDescription	"Based on the work of Harukawa Namio. Features various stills with minimal animation of fairly large bottomed women sitting on men's faces, subsequently urinating in their mouths.

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
