animeTitle	Cleaning Switch
animeType	Music
animeNumEpisode	1
releaseDate	2008-08-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.11
animeUsers	173
animeRank	
animePopularity	14539
animeDescription	"Music video for the song Cleaning Switch by Tripshots that was originally shown at the Sendai Hatsune Miku Music Festival ""Seniku"". "
animeRelated	[]
animeCharacters	['Hatsune, Miku']
animeVoices	[]
animeStaff	[['Tripshots', 'Director'], ['Hatsune, Miku', 'Theme Song Performance']]
