animeTitle	Fudanshi Koukou Seikatsu
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-05 00:00:00
endDate	2016-09-20 00:00:00
animeNumMembers	62949
animeScore	6.53
animeUsers	30857
animeRank	5987
animePopularity	2207
animeDescription	"Ryou Sakaguchi is a totally normal high school student, aside from his single unusual hobby. Sakaguchi is a fudanshi—a man who loves reading ""boys' love"" manga, and fantasizing about the gay potential he sees everywhere. He has only one wish before he dies: to find himself some friends that understand his secret passion.

His wish comes true, as Sakaguchi begins to uncover a host of interested parties. There's Rumi Nishihara, a closeted fujoshi who is more than eager to discuss the joys of boys' love with Sakaguchi; the flamboyantly gay leader of the school's cooking club, Yuujirou Shiratori, who makes no effort whatsoever to conceal his sexuality; Akira Ueda, Shiratori's diligent admirer, who will do anything for the love of his life; and even the mischievous Daigo, a fellow fudanshi and popular author of boys' love doujinshi. Standing by their sides throughout all the otaku chaos is Sakaguchi's best friend, Toshiaki Nakamura, who only wishes his classmates would start acting more like normal people.

[Written by MAL Rewrite]"
animeRelated	['Fudanshi Koukou Seikatsu', 'Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki']
animeCharacters	['Sakaguchi, Ryou', 'Nishihara, Rumi', 'Nakamura, Toshiaki', 'Shiratori, Yuujirou', 'Tozaki, Reiji', 'Daigo', 'Female Clerk', 'Ueda, Akira', 'Male Clerk', 'Miyazaki, Keiichi']
animeVoices	['Hatano, Wataru', 'Suzaki, Aya', 'Nojima, Kenji', 'Suzuki, Tatsuhisa', 'Hase, Norihito', 'Nishiyama, Koutarou', 'Kinoshita, Suzuna', 'Masuda, Toshiki', 'Horiuchi, Hayato', 'Tokuishi, Katsuhiro']
animeStaff	[['Tokoro, Toshikatsu', 'Director'], ['Abe, Nobuyuki', 'Sound Director'], ['Hatano, Wataru', 'Theme Song Performance'], ['Michinoku, Atami', 'Original Creator']]
