animeTitle	Himekishi Olivia
animeType	OVA
animeNumEpisode	2
releaseDate	2013-12-06 00:00:00
endDate	2014-06-06 00:00:00
animeNumMembers	6371
animeScore	6.47
animeUsers	2375
animeRank	
animePopularity	6360
animeDescription	"Based on the adult PC game by Silky's.

The proud princess Olivia Lindegald is forced to become a sex slave to save her nation and is degraded at every turn.

(Source: HentaiFreak)"
animeRelated	['Himekishi Olivia: He, Hentai, Kono Hentai Otoko! Sukoshi wa Haji wo Shirinasai!']
animeCharacters	['Lindegard, Olivia', 'Clarice']
animeVoices	['Yoneshima, Nozomi']
animeStaff	[['Kimura, Takeshi', 'Director'], ['Nakano, Sora', 'Original Character Design'], ['inoino', 'Original Character Design'], ['Andou, Tomoya', 'Original Character Design']]
