animeTitle	b'Liar Liar'
animeType	Unknown
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'At Academy Island, everything is settled through ""Games"" waged for a certain number of stars, with the strongest student being granted the ranking of Seven Stars. Hiroto, a transfer student, unexpectedly beats the strongest empress and becomes the pseudo-strongest in the school! A mind game of lies and bluffs begins! \n\n(Source: Kadokawa, translated)'"
animeRelated	[b'Liar Liar']
animeCharacters	[b'Himeji, Shirayuki', b'Shinohara, Hiroto', b'Saionji, Sarasa', b'Akizuki, Noa', b'Shiina, Tsumugi', b'Asamiya, Nanase', b'Minami, Shizuku']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKuou, Haruki\n\nOriginal Creator\n\n', b'\nkonomi\n\nOriginal Character Design\n\n']
