animeTitle	Ichigo Ichie: Koibana Tomobana
animeType	TV
animeNumEpisode	13
releaseDate	2007-10-20 00:00:00
endDate	2008-01-26 00:00:00
animeNumMembers	449
animeScore	
animeUsers	
animeRank	16266
animePopularity	13233
animeDescription	"Ichigo Ichie is based on a series of stationery. The stationery, by a company called Mind Wave, focuses on the friendship of two young girls.

(Source: TokyoPop)"
animeRelated	['Ichigo Ichie: Kimi no Kotoba']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
