animeTitle	b'Hello Kitty no Shoukoujo'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A Hello Kitty telling of the classic A Little Princess novel.'
animeRelated	[]
animeCharacters	[b'White, Kitty']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Masami\n\nDirector\n\n', b'\nTamano, Harumi\n\nEpisode Director\n\n', b'\nHoshiyama, Hiroyuki\n\nScript\n\n', b'\nIsaka, Junko\n\nAnimation Director\n\n']
