animeTitle	Sentou Mecha Xabungle
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	847
animeRank	
animePopularity	7440
animeDescription	"On the planet Zora exist two societies: the Innocent, an advanced culture that lives in domed cities, and the Civilians, who are forced to live in the harsh desert wilderness. As dictated by the Innocent, any Civilian that commits a crime is forgiven if they are not brought to justice within three days.

Civilian Jiron Amos seeks revenge on the villainous outlaw Timp Sharon who murdered his parents, despite the fact the three-day period has long since passed. Hoping to get his revenge by stealing the mecha Xabungle from the merchant Carrying Cargo, Jiron teams up with a group of bandits known as the Sandrats and kidnaps Cargo's daughter Elchi, who ends up being sympathetic to his cause. Jiron's quest for revenge soon grows into a conflict much bigger—one that will eventually see the Civilians rise up against the Innocents' rule.

[Written by MAL Rewrite]"
animeRelated	['Xabungle Graffiti']
animeCharacters	['Amos, Jiron', 'Cargo, Elchi', 'Uralo, Rag', 'Big, Fatman', 'Chill', 'Sharon, Timp', 'Rank, Arthur', 'Narrator', 'Biel', 'Memuma, Cotsett']
animeVoices	['Ootaki, Shinya', 'Yokoo, Mari', 'Shimazu, Saeko', 'Ginga, Banjou', 'Tarako', 'Shiozawa, Kaneto', 'Mori, Katsuji', 'Hiromori, Shingo']
animeStaff	[['Tomino, Yoshiyuki', 'Director, Storyboard, Original Creator'], ['Imagawa, Yasuhiro', 'Episode Director, Storyboard'], ['Takizawa, Toshifumi', 'Episode Director, Storyboard'], ['Yoshikawa, Souji', 'Script']]
