animeTitle	Hallelujah: Unmei no Sentaku
animeType	ONA
animeNumEpisode	1
releaseDate	2020-09-28 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	11322
animeDescription	"The story is set in the ungoverned Tokyo shortly after a mysterious power outage incident. Those who survived from the incident had to protect themselves from the mob.

It was ""Links,"" the young people with superpower, that saved the people in Tokyo. Among these young people, a performance group known as ""Crown"" gained tremendous support.

The protagonist Hallelujah and and his best friend Akatsuki, who grew up with him together in an orphanage, are also awakened with the abilities of Links. They join Crown and play an active part to save people every day.

(Source: Qoo News, edited)"
animeRelated	['Monster Strike']
animeCharacters	['Hallelujah', 'Akatsuki', 'Jaguar', 'Nagi', 'Sister Marie', 'Shura', 'Guren']
animeVoices	['Hanae, Natsuki', 'Yashiro, Taku', 'Matsukaze, Masaya', 'Tomita, Miyu', 'Suzuki, Eri', 'Kumagai, Kentarou', 'Hasegawa, Ikumi']
animeStaff	[['Kamei, Kanta', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Shirai, Hiroshi', 'Episode Director, Storyboard'], ['Uezu, Makoto', 'Script']]
