animeTitle	Cofun Gal no Coffy (TV)
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14841
animeDescription	The TV adaptation of the ONA series. Unlike the ONA, which has 10 episodes, this series has 11 episodes.
animeRelated	['Cofun Gal no Coffy', 'Cofun Gal no Coffy (TV) Specials', 'Cofun Gal no Coffy Campus Life', 'Cofun Gal no Coffy: Okehazama no Tatakai', 'Cofun Gal no Coffy: Juuninin to Ikareru Cofun-tachi', 'Cofun Gal no Coffy (TV): Christmas Daisakusen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
