animeTitle	Kaleido Star: Good da yo! Goood!!
animeType	OVA
animeNumEpisode	1
releaseDate	2006-09-27 00:00:00
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	3006
animeRank	
animePopularity	6280
animeDescription	"In 3 short scenes with chibi-versions of Sora, Layla, May and others you'll find out how to cook, how to play with diabolo and learn some words from seal language.

(Source: ANN)"
animeRelated	['Kaleido Star']
animeCharacters	['Naegino, Sora', 'Hamilton, Layla', 'Wong, May', 'Jonathan', 'Passel, Rosetta', 'Killian, Yuri', 'Heart, Anna', 'Robbins, Ken', 'Dupont, Sarah']
animeVoices	['Hirohashi, Ryou', 'Ohara, Sayaka', 'Nakahara, Mai', 'Kozakura, Etsuko', 'Shimono, Hiro']
animeStaff	[['Satou, Junichi', 'Director, Original Creator'], ['Hiraike, Yoshimasa', 'Director'], ['Yoshida, Reiko', 'Script'], ['Mizuhashi, Kaori', 'Theme Song Performance']]
