animeTitle	Sengoku Kitan Youtouden
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.98
animeUsers	567
animeRank	
animePopularity	9364
animeDescription	"In the year 1580, a man named Lord Nobunaga Oda sends hoards of unholy armies across Japan, slaying all who stand in their way. A young ninja escapes her villages' destruction with a short sword, one of the three mystical weapons that can end Oda's rule. During her quest, she is joined by two other ninjas who wield the other two weapons of legend, the sacred sword and spear. 

(Source: ANN) "
animeRelated	['Sengoku Kitan Youtouden Movie']
animeCharacters	"['Hayami, Ayame', 'Mori, Ranmaru', 'Sakon, Hayate', 'Oda, Nobunaga', 'Kogure, Ryouma', 'Fuma Ninja 2', 'Fuma Ninja 1', 'Fuma Ninja 3', ""Gen'yusai"", 'Kayo']"
animeVoices	['Toda, Keiko', 'Shiozawa, Kaneto', 'Inoue, Kazuhiko', 'Yao, Kazuki', 'Watabe, Takeshi', 'Yoshida, Miho']
animeStaff	[['Yamasaki, Osamu', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Tsuruyama, Osamu', 'Storyboard'], ['Sasaji, Masanori', 'Theme Song Composition, Theme Song Arrangement']]
