animeTitle	Bavi Stock
animeType	OVA
animeNumEpisode	2
releaseDate	1985-12-10 00:00:00
endDate	1986-11-10 00:00:00
animeNumMembers	992
animeScore	4.94
animeUsers	314
animeRank	11526
animePopularity	11130
animeDescription	"The universe has fallen under the cruel military rule of the despotic Ventika empire. However, a rebel police state planet known as G.P.P has discovered the existence of a little girl called Muma, that could well hold the key to bringing down the Ventika empire once and for all. 
Despite her frightening potential, Muma is suffering from memory loss and is incarcerated in a maximum security prison. Charged with the assignment of busting Muma out and protecting her, the G.P.P send one of their most hardened elite, Agent Kate.

Upon completing her mission successfully, Agent Kate is assigned yet another mission immediately after. This time, she must rescue another person that will prove instrumental in overthrowing the empire. His name is Bavi Stock, a young man of incredible talent but the problem is he that he too is currently incarcerated on the Ventika's purpose built prison planet. Can Agent Kate break him out? And just what can this Bavi Stock do?

Bavi Stock is a 2 part OAV series. The first movie is called ""Bavi Stock 1: Endless Target"" and the sequel was called ""Bavi Stock 2: The Revenge of Eyesman""."
animeRelated	[]
animeCharacters	['Stock, Bavi', 'Sammy', 'Jackson, Kate Lee', 'Old Man', 'Commander Geira', 'Pino', 'Captain', 'Elder', 'G.P.P Secretary', 'Bazz']
animeVoices	['Furuya, Toru', 'Tanaka, Hideyuki', 'Toda, Keiko', 'Matsuoka, Fumio', 'Hirose, Masashi', 'Miyuki, Sanae', 'Kobayashi, Michitaka', 'Yada, Minoru', 'Utsumi, Kenji', 'Gouri, Daisuke']
animeStaff	[['Kageyama, Shigenori', 'Director, Character Design'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Terada, Kenji', 'Script, Original Creator'], ['Honda, Yasuaki', 'Theme Song Lyrics, Theme Song Composition, Theme Song Performance, Inserted Song Performance, Music']]
