animeTitle	Cake Sushi
animeType	ONA
animeNumEpisode	2
releaseDate	2015-10-14 00:00:00
endDate	2015-11-30 00:00:00
animeNumMembers	164
animeScore	
animeUsers	
animeRank	15095
animePopularity	16703
animeDescription	Stop-motion commercials for Mizkan's cake sushi. The first episode features a jack-o-lantern ghoul tired of eating candy. The second episode features a depressed Santa Claus because he always has to eat Christmas cake.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
