animeTitle	Uchuu no Hou: Reimei-hen
animeType	Movie
animeNumEpisode	1
releaseDate	2018-10-12 00:00:00
endDate	
animeNumMembers	
animeScore	5.4
animeUsers	174
animeRank	
animePopularity	10109
animeDescription	"University students, Ray, Anna, Tyler, Halle, and Eisuke are enjoying college life and pursuing their dreams, but in reality, They have a secret mission, to fight against invading Reptilians from outer space. One day, Ray travels back in time to 330 million years ago on Earth, to find his missing friend Tyler who has fallen into a trap set by the evil alien, Dahar. During that time, Alpha, the God of the Earth, was planning to create a new civilization on Earth and invited Queen Zamza and her fellow Reptilian from the planet Zeta, to Earth.

What is the intention of Dahar? What will happen to Ray and Tyler?

And what is “the plan of the God of the Earth""?

(Source: Eleven Arts)"
animeRelated	['UFO Gakuen no Himitsu', 'Uchuu no Hou: Erohim-hen']
animeCharacters	['Eisuke', 'Halle', 'Tyler', 'Anna', 'Ray', 'Zamza', 'Yoake']
animeVoices	['Hatano, Wataru', 'Kakihara, Tetsuya', 'Seto, Asami', 'Oosaka, Ryouta', 'Shimizu, Fumika']
animeStaff	[['Imakake, Isamu', 'Director, Chief Animation Director, Character Design'], ['Ookawa, Ryuuhou', 'Original Creator']]
