animeTitle	Papa Mama Bye Bye
animeType	Movie
animeNumEpisode	1
releaseDate	1984-07-08 00:00:00
endDate	
animeNumMembers	188
animeScore	
animeUsers	
animeRank	12710
animePopularity	16232
animeDescription	"Dungaree-wearing teenage tomboy Kaori lives next door to the brothers Ko and Yasu. One day as Kaori is walking to school, a US jet crashes near the boys' house. Based on the ""1977 Yokohama F-4 crash"" real life incident. 

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
