animeTitle	Gotou ni Naritai.
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	831
animeRank	
animePopularity	8989
animeDescription	Story of a girl born with a bad leg. Ritsuko longs to go to school and make lots of friends but it is not so easy. Her mother is very protective of her and at school she is teased by her classmates for her strange way of walking. Will she manage to keep her smile?
animeRelated	[]
animeCharacters	['Hanauchi, Ritsuko', 'Ishibashi-sensei', 'Mikiko', 'Oka, Sakiko']
animeVoices	['Mitarai, Rika', 'Seino, Yumi', 'Nakatake, Kanako']
animeStaff	[['Oshima, Michiru', 'Music'], ['Jizoumoto, Takuji', 'Art Director']]
