animeTitle	b'Mitama: Nin'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	1004
animeRank	
animePopularity	
animeDescription	b'The world has fallen into disorder, it divided into the north and the south and after kakamura has been destroyed both lands now fight over the world.  capitals gave been born, one in the north and one in the south with its respective Emperor. In this age there are people  who live as Shinobi/Ninjas...'
animeRelated	[b'Mitama: Shinobi']
animeCharacters	[b'Ran', b'Yahiro', b'Oboro']
animeVoices	[b'\nMaki, Midori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nTaka, Tony\n\nCreator\n\n']
