animeTitle	b'Teekyuu 2'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	16193
animeRank	
animePopularity	
animeDescription	b'Second season of Teekyu series.'
animeRelated	[b'Teekyuu', b'Teekyuu 3', b'Teekyuu 2 Specials']
animeCharacters	[b'Bandou, Marimo', b'Shinjou, Kanae', b'Takamiya, Nasuno', b'Oshimoto, Yuri', b'Tomalin', b'Yucatan', b'Kondou, Udonko', b'Takamiya, Father', b'Bobby', b'Mika']
animeVoices	[b'\nHanazawa, Kana\nJapanese\n', b'\nMimori, Suzuko\nJapanese\n', b'\nNarumi, Kyoko\nJapanese\n', b'\nWatanabe, Yui\nJapanese\n', b'\nOgura, Yui\nJapanese\n', b'\nTakahashi, Shinya\nJapanese\n', b'\nIshihara, Kaori\nJapanese\n', b'\nShimozuma, Yoshiyuki\nJapanese\n', b'\nOowada, Hitomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Sound Director, Episode Director, Script, Storyboard, Key Animation, Character Design, Animation Director, In-Between Animation\n\n', b'\nNarumi, Kyoko\n\nTheme Song Performance\n\n', b'\nYashikin\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n', b'\nTerada, Tsugeo\n\nOriginal Creator\n\n']
