animeTitle	Legendz: Yomigaeru Ryuuou Densetsu
animeType	TV
animeNumEpisode	50
releaseDate	2004-04-04 00:00:00
endDate	2005-03-27 00:00:00
animeNumMembers	
animeScore	7.3
animeUsers	779
animeRank	
animePopularity	8751
animeDescription	"When a crafty toy company ""Wiz"" also known in this show as Dark Wiz Company, finds crystals with the faint DNA of monsters known as ""Legendz"" are found and made into a battle game.

A young boy named Shu receives one these crystals known as ""soul figures"" from his father after a baseball game. Legendz rapidly became popular and more and more children played it. Wiz employeys start to track down Shu for his special soul figure, for his soul figure can revive real legendz not just the little kiddy digital images! How will Shu fight his way to victory and claim this soul figure as his own?

(Source: TV.com) "
animeRelated	['Legendz']
animeCharacters	['Shiron', 'Ranshiin', 'Greedo', 'Sparks, Dino', 'McField, Mike', 'Matsutani, Shuzo', 'Hepburn, Halca', 'Sprinkle, Meg', 'Wolfy the Werewolf', 'Johnson, Jack']
animeVoices	['Inoue, Kazuhiko', 'Yamaguchi, Yoshiyuki', 'Minami, Omi', 'Suzuki, Masami', 'Okamura, Akemi', 'Fuchizaki, Yuriko', 'Nasu, Megumi', 'Nakano, Yuto', 'Maeda, Takeshi']
animeStaff	[['Daichi, Akitarou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Yamada, Yuka', 'Script'], ['Yamada, Takashi', 'Script']]
