animeTitle	T.P. Sakura: Time Paladin Sakura
animeType	OVA
animeNumEpisode	2
releaseDate	2011-01-27 00:00:00
endDate	2011-02-24 00:00:00
animeNumMembers	4114
animeScore	5.9
animeUsers	1498
animeRank	9036
animePopularity	7555
animeDescription	"The project is a spinoff from Circus's D.C. Da Capo franchise and features the Yoshino Sakura character as a seemingly ordinary third grader with secret special powers.

(Source: AniDB)"
animeRelated	['D.C.: Da Capo']
animeCharacters	['Yoshino, Sakura', 'Suginami', 'Asakura, Junichi', 'Shirakawa, Kotori', 'Asakura, Nemu', 'Mizukoshi, Moe', 'Amakase, Miharu', 'Mizukoshi, Mako', 'Tsukishiro, Alice']
animeVoices	['Mimori, Suzuko', 'Kishio, Daisuke', 'Nitta, Emi', 'Yonezawa, Madoka', 'Taketatsu, Ayana', 'Itou, Kanae', 'Enoki, Azusa']
animeStaff	[['Kidani, Takaaki', 'Producer'], ['Ebina, Yasunori', 'Sound Director'], ['Satou, Hikaru', 'Episode Director'], ['Sasaki, Sayaka', 'Theme Song Performance']]
