animeTitle	Hokuto no Ken 2
animeType	TV
animeNumEpisode	43
releaseDate	1987-03-12 00:00:00
endDate	1988-02-18 00:00:00
animeNumMembers	26248
animeScore	7.55
animeUsers	11079
animeRank	1474
animePopularity	3520
animeDescription	In the second series after Raoh has been defeated by Kenshiro a new rival appears. The Gentou Kouken warriors. Falco the successor of the Gentou Kouken takes orders from an evil ruler by the name of Jacko. He claims to be the man chosen by the Tentei and issues orders to his subordinates to capture anyone living in order to build up his Imperial Capital. Kenshiro once again rises out of the shadows and puts an end to his tyrannical ways. Amidst the mayhem Lynn gets captured and gets taken to the land of the Shura where only ruthless fighters exist. Now Kenshiro must pursue the captor and defeat the 3 Rasho of the land in order to escape with his life and with Lynn.
animeRelated	['Hokuto no Ken', 'Shin Hokuto no Ken', 'DD Hokuto no Ken 2 Ichigo Aji+']
animeCharacters	['Kenshirou', 'Raou', 'Bat', 'Yuria', 'Lin', 'Mamiya', 'Ein', 'Kaiou', 'Shachi', 'Hyou']
animeVoices	['Kamiya, Akira', 'Utsumi, Kenji', 'Nanba, Keiichi', 'Yamamoto, Yuriko', 'Tominaga, Miina', 'Fujita, Toshiko', 'Yamaguchi, Ken', 'Suzuoki, Hirotaka', 'Horikawa, Ryo']
animeStaff	[['Ashida, Toyoo', 'Director'], ['Matsuura, Johei', 'Episode Director'], ['Shimon, Masato', 'Theme Song Performance'], ['Buronson', 'Original Creator']]
