animeTitle	Cinderella Express
animeType	OVA
animeNumEpisode	1
releaseDate	1989-08-16 00:00:00
endDate	
animeNumMembers	1022
animeScore	5.67
animeUsers	205
animeRank	9858
animePopularity	11076
animeDescription	"Everyday salary man Shimano Yuji meets and beds a pretty young girl at his bachelor party. Meeting her again at his wedding, he realises that he has just began an affair with his sister-in-law.

(Source: AniDB)"
animeRelated	['Cinderella Express']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
