animeTitle	Suisei no Gargantia: Meguru Kouro, Haruka
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	16830
animeRank	
animePopularity	2935
animeDescription	"A 2-episode OVA for Suisei no Gargantia revealed during an announcement at AnimeJapan 2014.

(Source: MAL News)"
animeRelated	['Suisei no Gargantia: Meguru Kouro, Haruka', 'Suisei no Gargantia']
animeCharacters	['Ledo', 'Amy', 'Reema', 'Chamber', 'Bellows', 'Melty', 'Mayta', 'Saaya', 'Rackage', 'Pinion']
animeVoices	['Ishikawa, Kaito', 'Kanemoto, Hisako', 'Minase, Inori', 'Sugita, Tomokazu', 'Itou, Shizuka', 'Asumi, Kana', 'Tokui, Sora', 'Kayano, Ai', 'Tsunematsu, Ayumi', 'Konishi, Katsuyuki']
animeStaff	[['Kisara, Youhei', 'Producer'], ['Oogami, Yuuma', 'Producer'], ['Hirasawa, Nao', 'Assistant Producer'], ['Murata, Kazuya', 'Director']]
