animeTitle	"b""Bakusou Kyoudai Let's & Go"""
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	4951
animeRank	
animePopularity	
animeDescription	"b'Based on the manga by Tetsuhiro Koshita, Bakusou Kyoudai Let\'s & Go!! has two main seasons evolving around the Go brothers and the TRF Victorys. The third season, Bakusou Kyoudai Let\'s & Go!! MAX evolves more around two new main characters, but the primary idea is the same... Racing!\n\nLet\'s & Go!! focuses on Retsu and Go Seiba, two young brothers who receive racing cars called ""Mini 4WD"" by Dr. Tsuchia. From there on, the series portraits those two boys, training and customizing parts to later on participate on Japans Cup, where all of Japan\'s racers enter to be the best of the best!'"
animeRelated	"[b""Bakusou Kyoudai Let's & Go!!"", b""Bakusou Kyoudai Let's & Go WGP"", b""Bakusou Kyoudai Let's & Go Special""]"
animeCharacters	[b'Seiba, Retsu', b'Seiba, Go', b'J', b'Okita, Kai', b'Dr. Tsuchiya', b'Sagami, Tamotsu', b'Sagami, Jun', b'Kurosawa, Futoshi', b'Mikuni, Ch\xc4\xabiko', b'Kohiru, Makoto']
animeVoices	[b'\nFuchizaki, Yuriko\nJapanese\n', b'\nIkezawa, Haruna\nJapanese\n', b'\nWatanabe, Kumiko\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nEbara, Masashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAmino, Tetsuro\n\nDirector, Storyboard\n\n', b'\nMorioka, Hiroshi\n\nDirector\n\n', b'\nKasai, Kenichi\n\nEpisode Director\n\n', b'\nFujimoto, Yoshitaka\n\nEpisode Director\n\n']
