animeTitle	Hello Kitty no Kaguya-hime
animeType	OVA
animeNumEpisode	1
releaseDate	1993-09-21 00:00:00
endDate	
animeNumMembers	678
animeScore	5.68
animeUsers	233
animeRank	9810
animePopularity	12150
animeDescription	Kitty and friends recreate the story of The Tale of the Bamboo Cutter.
animeRelated	['Hello Kitty no Kaguya-hime (2001)']
animeCharacters	['White, Kitty']
animeVoices	['Hayashibara, Megumi']
animeStaff	[['Ishikawa, Yasuo', 'Director'], ['Hoshiyama, Hiroyuki', 'Script'], ['Nagashima, Youko', 'Art Director'], ['Isaka, Junko', 'Animation Director']]
