animeTitle	Chouja Raideen
animeType	TV
animeNumEpisode	38
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	534
animeRank	
animePopularity	9419
animeDescription	"Hishou, Ginga, Ace, Hayate, and Ikazuchi all work at a studio doing various idol-related jobs at the request of their manager, Reiko. But in reality, these five teenagers are really the Reideens, a group of superheroes who fight the Super Devils sent by Lushu, a mysterious being. Little do the Reideens know, these Super Devils are being sent for a more important purpose...

(Source: ANN)"
animeRelated	['Reideen', 'Yuusha Raideen']
animeCharacters	['Torikai, Ginga', 'De Mon, Rouch', 'Amakai, Reiko']
animeVoices	['Yusa, Kouji', 'Yao, Kazuki', 'Tanaka, Atsuko']
animeStaff	[['Kawase, Toshifumi', 'Director, Storyboard'], ['Yamaguchi, Yuuji', 'Episode Director, Storyboard'], ['Sonoda, Hideki', 'Script, Series Composition'], ['Takamatsu, Shinji', 'Storyboard']]
