animeTitle	Blue Dragon
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	22463
animeRank	
animePopularity	2567
animeDescription	"As Shu's village was being attacked by an unknown enemy, he and his friends, Jiro and Kluke decide to defend their home. They soon meet warrior Zola and receive the powers of Shadow, an ability that let's them transform their shadow into a powerful monster. Shu receives one of the most powerful monsters, Blue Dragon, and they all set out to defeat their enemy.

(Source: ANN)"
animeRelated	['Blue Dragon: Tenkai no Shichi Ryuu']
animeCharacters	['Zola', 'Blue Dragon', 'Shu', 'Bouquet', 'Kluke', 'Marumaro', 'Jiro', 'Saber Tiger', 'Andropov', 'Legolas']
animeVoices	['Park, Romi', 'Takatsuka, Masaya', 'Nemoto, Keiko', 'Nakajima, Saki', 'Hazuki, Erino', 'Uran, Sakiko', 'Namikawa, Daisuke', 'Horikawa, Jin', 'Yamaguchi, Kappei', 'Horiuchi, Kenyuu']
animeStaff	[['Matsushita, Yukihiro', 'Director, Episode Director, Storyboard'], ['Takakuwa, Hajime', 'Sound Director'], ['Kon, Chiaki', 'Episode Director, Storyboard'], ['Tsuchiya, Hiroyuki', 'Episode Director']]
