animeTitle	Miyori no Mori
animeType	Special
animeNumEpisode	1
releaseDate	2007-08-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	3706
animeRank	
animePopularity	5054
animeDescription	"After being deserted by her parents, 11-year-old Miyori shuts her heart from the rest of the world and denies any form of human relationships. She was entrusted in the care of her grandmother who lives near a forest. Miyori will take a walk in the forest where she felt a strong sense of loneliness in the forest which seems to have nothing. However, she soon encounters unbelievable things and gradually realizes that the forest is more than what it seems...

(Source: ANN)"
animeRelated	['Miyori no Mori']
animeCharacters	['Mashima, Miyori', 'Obaa-chan', 'Nagizari, Fuukurin', 'Kanoko', 'Nego-jii', 'Ipponzakura no Sei', 'Bokuriko', 'Ojii-chan', 'Washirashi', 'Daisuke']
animeVoices	['Aoi, Yuu', 'Ichihara, Etsuko', 'Nagasako, Takashi', 'Amano, Hiroyuki', 'Tsukada, Masaaki', 'Hajime, Chitose', 'Takashima, Aya', 'Tsuji, Shinpachi', 'Matsuo, Midori', 'Numata, Yusuke']
animeStaff	[['Yamamoto, Nizou', 'Director, Storyboard'], ['Hayase, Hiroyuki', 'Sound Director'], ['Kidokoro, Seimei', 'Episode Director'], ['Itou, Hideki', 'Episode Director, Storyboard, Animation Director']]
