animeTitle	MILPOM★ Pilot
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.24
animeUsers	494
animeRank	
animePopularity	11389
animeDescription	"MILPOM★ will be stop motion shorts that feature dolls in a surreal world for girls.

(Source: ANN)"
animeRelated	['MILPOM★']
animeCharacters	['Cacao', 'Happy', 'Milpom', 'Silky']
animeVoices	['Shiina, Hikari']
animeStaff	[['Mieno, Hitomi', 'Series Composition'], ['Miyata, Keiko', 'Character Design']]
