animeTitle	Genji Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	1987-12-19 00:00:00
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	1934
animeRank	
animePopularity	5955
animeDescription	Based on the literary work of Shikibu Murasaki, Genji Monogatari is a story of the Emperor's second son born by a courtier. Made a commoner, he served as a retainer to the court.
animeRelated	['Genji Monogatari Sennenki']
animeCharacters	['Genji, Hikaru', 'Oborozukiyo']
animeVoices	['Kazama, Morio']
animeStaff	[['Sugii, Gisaburou', 'Director'], ['Sadamoto, Yoshiyuki', 'Key Animation'], ['Maeda, Mahiro', 'Key Animation'], ['Nakura, Yasuhiro', 'Animation Director, Character Design']]
