animeTitle	Minarai Diva
animeType	TV
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.34
animeUsers	186
animeRank	
animePopularity	10035
animeDescription	The story follows two aspiring divas who hope to become famous through a unique brand of music.
animeRelated	[]
animeCharacters	['Harune, Ui', 'Aoi, Ruri']
animeVoices	['Yamamoto, Nozomi', 'Murakawa, Rie']
animeStaff	[['Ishidate, Koutarou', 'Director, Script, Series Composition'], ['Adachi, Shingo', 'Character Design'], ['Yoshida, Hisanori', 'Executive Producer'], ['Inoue, Junichi', 'Music']]
