animeTitle	Machine-Doll wa Kizutsukanai Specials
animeType	Special
animeNumEpisode	6
releaseDate	2013-12-25 00:00:00
endDate	2014-05-28 00:00:00
animeNumMembers	
animeScore	6.74
animeUsers	14483
animeRank	
animePopularity	3126
animeDescription	"Original animation to be included in the BD and DVD volume releases of Machine-Doll wa Kizutsukanai.

Volume 1: ""Soshite Futari wa Manabisha e (And So They Arrive at School)""
Volume 2: ""Irori, Rotenburo de Sosou suru (Irori Has an Accident at the Open-Air Bath)""
Volume 3: ""Char and Frey, Senritsu no Bathroom (Charl, Frey, and the Bathroom of Terror)""
Volume 4: ""Akabane Nadeshiko, Natsu no Yo no Yume (Nadeshiko Akabane, Midsummer Night's Dream)""
Volume 5: ""Kojin Jugyou: Imishitsu de Bijo Futari to~ (Private Lesson - Two Beauties in an Infirmary)""
Volume 6: ""Bishoujo Shuugou! Mizugi Darake no Daisoudou (Pretty Girls Gather! Swimsuit-Stubbed Pandemonium)"""
animeRelated	['Machine-Doll wa Kizutsukanai']
animeCharacters	['Yaya', 'Akabane, Raishin', 'Frey', 'Belew, Charlotte', 'Irori', 'Karyuusai, Shouko', 'Sigmund', 'Komurasaki', 'Kimberly', 'Akabane, Nadeshiko']
animeVoices	['Harada, Hitomi', 'Shimono, Hiro', 'Asumi, Kana', 'Takamoto, Megumi', 'Kayano, Ai', 'Yukana', 'Nakata, Jouji', 'Ogura, Yui', 'Itou, Shizuka', 'Hanazawa, Kana']
animeStaff	[['Kayano, Ai', 'Theme Song Performance'], ['Ogura, Yui', 'Theme Song Performance'], ['Harada, Hitomi', 'Theme Song Performance'], ['Fukunaga, Gen', 'Executive Producer']]
