animeTitle	Shuukaku no Yoru
animeType	OVA
animeNumEpisode	2
releaseDate	2002-05-25 00:00:00
endDate	2002-11-25 00:00:00
animeNumMembers	2737
animeScore	5.95
animeUsers	1018
animeRank	
animePopularity	8625
animeDescription	"There is a bridge that divides the town, separating violence from non-violence, immorality from morality, sexually abusive lifestyles from ordinary lifestyles. There is no order beyond that bridge.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Honoka', 'Masoto', 'Lisa', 'Wakaba', 'Emi']
animeVoices	[]
animeStaff	[['Iijima, Hiroya', 'Character Design']]
