animeTitle	Futa-bu! Mix: Futanari World
animeType	OVA
animeNumEpisode	1
releaseDate	2015-06-26 00:00:00
endDate	
animeNumMembers	
animeScore	6.68
animeUsers	6169
animeRank	
animePopularity	4791
animeDescription	Sequel to Futabu!! Based on the adult doujin by BOSSHI.
animeRelated	['Futabu! Mix', 'Futa-bu!!']
animeCharacters	['Asakura, Mao', 'Oohashi, Sumika', 'Itou, Aya', 'Aihara, Ai', 'Niimura, Akane']
animeVoices	['Sachi, Yun', 'Akimoto, Nerine', 'Ashiya, Kyouko', 'Takanashi, Konoko', 'Obana, Momoko']
animeStaff	[['Bosshi', 'Original Creator']]
