animeTitle	Requiem
animeType	OVA
animeNumEpisode	2
releaseDate	2005-06-25 00:00:00
endDate	2005-07-25 00:00:00
animeNumMembers	
animeScore	5.24
animeUsers	1537
animeRank	
animePopularity	7645
animeDescription	"Based on a game by CLOCKUP 

Cannone is a violin that entrances people. Ceillia is a violin that was created by the angels that seals Cannone. 

Akio became a teacher for St. Cecillia Academy. He found Cannone sealed in the torture room under the chapel, he was fascinated by it`s power. The other violin picked a girl to use it`s powers to steal Cannone. 

(Source: Animenfo) "
animeRelated	[]
animeCharacters	['Nanahara, Yukina']
animeVoices	['Inokuchi, Yuka']
animeStaff	[['Marie', 'Theme Song Performance'], ['CLOCKUP', 'Original Creator'], ['Fujii, Kousuke', 'Key Animation'], ['Mutou, Kazuhiro', 'Key Animation']]
