animeTitle	b'Kuuchuu Gunkan Atlantis'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Set on a floating island called Atlantis, the story follows a captured girl named Luna and her would-be rescuer Cyan. Not everything is a simple as it appears thanks to a mysterious enemy and the robot Gekiga-go.\n\n(Source: Goboiano)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
