animeTitle	Manga de Wakaru! Fate/Grand Order
animeType	Special
animeNumEpisode	1
releaseDate	2018-12-31 00:00:00
endDate	
animeNumMembers	14180
animeScore	7.69
animeUsers	7559
animeRank	1099
animePopularity	4628
animeDescription	A short anime based on Manga de Wakaru! Fate/Grand Order by Riyo. Aired during Fate Project Year End 2018, and is also available on YouTube.
animeRelated	['Manga de Wakaru! Fate/Grand Order', 'Fate/Grand Order: First Order']
animeCharacters	['Fujimaru, Ritsuka', 'Kuro no Rider', 'Ruler', 'Kyrielight, Mash', 'Caster', 'Kuro no Assassin', 'Lancer', 'Arsimilat Animusphere, Olga-Marie', 'Kiyohime']
animeVoices	['Kaneda, Tomoko', 'Ookubo, Rumi', 'Sakamoto, Maaya', 'Takahashi, Rie', 'Saitou, Chiwa', 'Tange, Sakura', 'Yonezawa, Madoka', 'Taneda, Risa']
animeStaff	[['Kaneda, Tomoko', 'Theme Song Performance'], ['Type-Moon', 'Original Creator'], ['Yoshihara, Tatsuya', 'Key Animation'], ['Miyawaki, Youhei', 'Director of Photography']]
