animeTitle	Yariman Fudousan
animeType	OVA
animeNumEpisode	2
releaseDate	2014-04-04 00:00:00
endDate	2014-06-06 00:00:00
animeNumMembers	
animeScore	5.99
animeUsers	1331
animeRank	
animePopularity	7892
animeDescription	"The Higurashi Real Estate resides in a small, nondescript office building where Minokawa Naoto works. Everyday, he has to deal with the sketchy customers and his extremely perverted boss. She loves to have sex in apartments that are left deserted by the tenants that cannot pay for their rent. With his salary being so low and his boss sucking him dry, will he make it?

(Source: MU)"
animeRelated	['Higurashi Fudousan Kuushitsu-ari']
animeCharacters	['Kurosaki', 'Couple, Onna', 'Onna, Shachou', 'Minokawa, Naoto', 'Mizumoto, Kumi', 'Takasaki', 'Meguro']
animeVoices	['Obana, Momoko', 'Sachi, Yun', 'Akimoto, Nerine']
animeStaff	[['Itaba, Hiroshi', 'Original Creator']]
