animeTitle	Stitch! Perfect Memory
animeType	Special
animeNumEpisode	1
releaseDate	2015-08-07 00:00:00
endDate	
animeNumMembers	470
animeScore	5.83
animeUsers	142
animeRank	9257
animePopularity	13120
animeDescription	"In the story, a mysterious giant tank rocket begins stealing resources from various planets. On Earth, Yuuna and Boogoo get involved in the incident and disappear. In order to save Yuuna, Stitch teams up with Tiira. 

Yuu Aoi will guest star in the special as Tiira, an information analysis robot from the Galactic Federation.

(Source: ANN)"
animeRelated	['Stitch to Suna no Wakusei']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
