animeTitle	Hakujaden
animeType	Movie
animeNumEpisode	1
releaseDate	1958-10-22 00:00:00
endDate	
animeNumMembers	4525
animeScore	6.13
animeUsers	1787
animeRank	8038
animePopularity	7307
animeDescription	"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Bai, Niang', 'Xu, Xian', 'Panda']
animeVoices	['Miyagi, Mariko', 'Morishige, Hisaya']
animeStaff	[['Rintaro', 'In-Between Animation'], ['Mori, Yasuji', 'Key Animation'], ['Yamamoto, Zenjirou', 'Planning'], ['Okuyama, Reiko', 'In-Between Animation']]
