animeTitle	Nanatsu no Bitoku Specials
animeType	Special
animeNumEpisode	2
releaseDate	2018-04-27 00:00:00
endDate	
animeNumMembers	8398
animeScore	5.48
animeUsers	2880
animeRank	10442
animePopularity	5704
animeDescription	Unaired episodes included with the Blu-ray and DVD release of Nanatsu no Bitoku. 
animeRelated	['Nanatsu no Bitoku']
animeCharacters	['Sariel', 'Raphael', 'Metatron', 'Michael', 'Uriel', 'Gabriel', 'Sandalphon']
animeVoices	[]
animeStaff	[['Niθ', 'Original Character Design']]
