animeTitle	Wonder Egg Priority
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.86
animeUsers	219940
animeRank	
animePopularity	285
animeDescription	"Following the suicide of her best and only friend, Koito Nagase, Ai Ooto is left grappling with her new reality. With nothing left to live for, she follows the instructions of a mysterious entity and gets roped into purchasing an egg, or specifically, a Wonder Egg.

Upon breaking the egg in a world that materializes during her sleep, Ai is tasked with saving people from the adversities that come their way. In doing so, she believes that she has moved one step closer to saving her best friend. With this dangerous yet tempting opportunity in the palms of her hands, Ai enters a place where she must recognize the relationship between other people's demons and her own.

As past trauma, unforgettable regrets, and innate fears hatch in the bizarre world of Wonder Egg Priority, a young girl discovers the different inner struggles tormenting humankind and rescues them from their worst fears.

[Written by MAL Rewrite]"
animeRelated	['Wonder Egg Priority Special']
animeCharacters	['Ooto, Ai', 'Kawai, Rika', 'Sawaki, Momoe', 'Aonuma, Neiru', 'Kurita, Kaoru', 'Frill', 'Ura-Acca', 'Awano, Kotobuki', 'Nagase, Koito', 'Acca']
animeVoices	['Aikawa, Kanata', 'Saitou, Shuka', 'Yano, Hinaki', 'Kusunoki, Tomori', 'Misawa, Sachika', 'Yamaguchi, Megumi', 'Takahashi, Hiroki', 'Tadokoro, Azusa', 'Uchida, Yuuya']
animeStaff	[['Wakabayashi, Shin', 'Director'], ['Fujita, Akiko', 'Sound Director'], ['Nojima, Shinji', 'Script, Original Creator'], ['Shinohara, Keisuke', 'Storyboard']]
