animeTitle	CCW: Crazy Clay Wrestling
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.55
animeUsers	1557
animeRank	
animePopularity	9080
animeDescription	"An intense wrestling match takes place between Yellow and Orange. Pulling out all the stops, they attack each other with all they have—German suplexes, snaps, groin kicks, tosses, and headlocks are all fair game. Only the side that can pin down the other for three seconds will be the winner, and they will both go all-out to seize the prize!

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Yellow', 'Orange']
animeVoices	[]
animeStaff	[['Takena, Nagao', 'Director']]
