animeTitle	Kataude
animeType	Movie
animeNumEpisode	1
releaseDate	2019-06-11 00:00:00
endDate	
animeNumMembers	101
animeScore	
animeUsers	
animeRank	16633
animePopularity	17767
animeDescription	"A woman lends an admirer her arm for the course of one night for him to find pleasure with it... An eerie erotic short story by Nobel Prize laureat Kawabata Yasunari is turned into minimalist animation of dazzling beauty indebted to Alfons Maria Mucha. A true gem created by two anime giants.

(Source: IFFR)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
