animeTitle	Motto ne!
animeType	Music
animeNumEpisode	1
releaseDate	2021-02-10 00:00:00
endDate	
animeNumMembers	369
animeScore	6.34
animeUsers	196
animeRank	6986
animePopularity	13872
animeDescription	Music video released on the Love Live! official YouTube channel for the song Motto ne! that was featured on Kanan Matsuura's first solo album.
animeRelated	['Love Live! Sunshine!!']
animeCharacters	['Matsuura, Kanan']
animeVoices	[]
animeStaff	[['Suwa, Nanaka', 'Theme Song Performance'], ['Hata, Aki', 'Theme Song Lyrics']]
