animeTitle	b'Hamatora The Animation'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	114120
animeRank	
animePopularity	
animeDescription	"b'The ability to create miracles is not just a supernatural phenomenon; it is a gift which manifests in a limited number of human beings. ""Minimum,"" or small miracles, are special powers that only selected people called ""Minimum Holders"" possess. The detective agency Yokohama Troubleshooting, or Hamatora for short, is composed of the ""Minimum Holder PI Duo,"" Nice and Murasaki. Their office is a lone table at Cafe Nowhere, where the pair and their coworkers await new clients.\n\nSuddenly, the jobs that they begin to receive seem to have strange connections to the serial killer whom their friend Art, a police officer, is searching for. The murder victims share a single similarity: they are all Minimum Holders. Nice and Murasaki, as holders themselves, are drawn to the case\xe2\x80\x94but what exactly is the link between Nice and the one who orchestrates it all?\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Hamatora The Comic', b'Hamatora: The Novel', b'Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru', b'Fw:Hamatora', b'Re:\xe2\x90\xa3Hamatora', b'Mini Hama: Minimum Hamatora', b'Mini Hama: Minimum Hamatora Movies']
animeCharacters	[b'Nice', b'Murasaki', b'Art', b'Hajime', b'Birthday', b'Ratio', b'Moral', b'Honey', b'Three', b'Koneko']
animeVoices	[b'\nOosaka, Ryouta\nJapanese\n', b'\nHatano, Wataru\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nKatou, Emiri\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKobayashi, Sanae\nJapanese\n', b'\nOno, Yuuki\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nMurase, Katsuki\nJapanese\n', b'\nYasuno, Kiyono\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKishi, Seiji\n\nDirector\n\n', b'\nKimura, Hiroshi\n\nDirector\n\n', b'\nItou, Fumio\n\nEpisode Director\n\n', b'\nMachida, Touko\n\nScript\n\n']
