animeTitle	Non-tan to Issho
animeType	TV
animeNumEpisode	263
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14414
animeDescription	"Nontan is the protagonist of a Japanese series of children's picture books by the same name written by Sachiko Kiyono.

In the series, Nontan is a mischievous kitten who likes to play and learns about the world around him. Other characters include Pig, Rabbit triplet, Raccoon, Bear, Bee, and Nontan's little sister Taatan.

(Source: Wikipedia)"
animeRelated	['Genki Genki Non-tan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
