animeTitle	A-jang.com
animeType	TV
animeNumEpisode	13
releaseDate	2001-11-22 00:00:00
endDate	2001-12-22 00:00:00
animeNumMembers	
animeScore	5.63
animeUsers	135
animeRank	
animePopularity	12506
animeDescription	"The spirit world, the real world and the Internet cyber world maintain peace and harmony by the Dimension stone, which was created by the three deities named Dragon King, Zeus and Zoolu. One day, Doddery had a date therefore he switched the stone guard duty with the Super Baby by bribing him with milk. A-jang fights hard with LuPin and Pigu till the end but in that process something goes wrong with the Dimension Stone and due to that unusual energy Spirit world becomes chaotic. Many spirits including LuPin and Pigu falls into cyber space and A-jang just manages to escape. 

(Source: tvkanald.rs)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
