animeTitle	Balthus: Tia no Kagayaki
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.1
animeUsers	682
animeRank	
animePopularity	9499
animeDescription	"In the village of Le-jeute, all is not well. Over shadowed by the mysterious factory city called Balthus, this peaceful little village are lured into life with the promises of pleasure that await them. But when the workers realize this, its too late to forsake the factory. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Morlock', 'Eud', 'Tia', 'Alphonse']
animeVoices	['Genda, Tesshou', 'Seki, Toshihiko', 'Takada, Yumi', 'Kosugi, Juurouta']
animeStaff	[['Makino, Yukihiro', 'Director, Mechanical Design, 2nd Key Animation'], ['Ebisawa, Kazuo', 'Background Art']]
